name,legislature_id,date,moment,approuve
0039,54,20150421,PM,false
0038,54,20150421,AM,false
0037,54,2015042,PM,false
0036,54,20150326,PM,false
0035,54,20150319,PM,false
0034,54,20150312,PM,false
0033,54,2015035,PM,false
0032,54,20150226,PM,false
0031,54,20150212,PM,false
0030,54,2015025,PM,false
0029,54,20150129,PM,false
0028,54,20150122,PM,false
0027,54,20150115,PM,false
0026,54,2015018,PM,false
0025,54,20141219,PM,false
0024,54,20141218,PM,false
0023,54,20141217,Soir,false
0022,54,20141217,PM,false
0021,54,20141217,AM,false
0020,54,20141211,PM,false
0019,54,20141211,PM,false
0018,54,2014124,PM,false
0017,54,20141127,PM,false
0016,54,20141120,PM,false
0015,54,20141113,PM,false
0014,54,2014116,PM,false
0013,54,20141023,PM,false
0012,54,20141016,Soir,false
0011,54,20141016,PM,false
0010,54,20141015,Soir,false
0009,54,20141015,PM,false
0008,54,20141015,AM,false
0007,54,20141014,PM,false
0006,54,2014107,PM,false
0005,54,20140926,PM,false
0004,54,20140730,PM,false
0003,54,20140717,PM,false
0002,54,20140630,PM,false
0001,54,20140619,PM,false
