name,legislature_id,date,moment,approuve
0040,54,20150422,AM,true
0039,54,20150421,PM,true
0038,54,20150421,AM,true
0037,54,2015042,PM,true
0036,54,20150326,PM,true
0035,54,20150319,PM,true
0034,54,20150312,PM,true
0033,54,2015035,PM,true
0032,54,20150226,PM,true
0031,54,20150212,PM,true
0030,54,2015025,PM,true
0029,54,20150129,PM,true
0028,54,20150122,PM,true
0027,54,20150115,PM,true
0026,54,2015018,PM,true
0025,54,20141219,PM,true
0024,54,20141218,PM,true
0023,54,20141217,Soir,true
0022,54,20141217,PM,true
0021,54,20141217,AM,true
0020,54,20141211,PM,true
0019,54,20141211,PM,true
0018,54,2014124,PM,true
0017,54,20141127,PM,true
0016,54,20141120,PM,true
0015,54,20141113,PM,true
0014,54,2014116,PM,true
0013,54,20141023,PM,true
0012,54,20141016,Soir,true
0011,54,20141016,PM,true
0010,54,20141015,Soir,true
0009,54,20141015,PM,true
0008,54,20141015,AM,true
0007,54,20141014,PM,true
0006,54,2014107,PM,true
0005,54,20140926,PM,true
0004,54,20140730,PM,true
0003,54,20140717,PM,true
0002,54,20140630,PM,true
0001,54,20140619,PM,true
